flink,terasort,cmbw.sh,no,success,804.546686 
flink,terasort,cmbw.sh,bw,fail,1060.623490 
flink,terasort,cmbw.sh,cache,success,689.207254 
flink,terasort,cmbw.sh,bwcache,success,1186.511761 
flink,terasort,cmbw.sh,no,success,739.660650 
flink,terasort,cmbw.sh,bw,fail,1017.723942 
flink,terasort,cmbw.sh,cache,success,852.528069 
flink,terasort,cmbw.sh,bwcache,success,969.650089 
flink,terasort,cmbw.sh,no,success,759.033960 
flink,terasort,cmbw.sh,bw,success,1170.696620 
flink,terasort,cmbw.sh,cache,success,775.498479 
flink,terasort,cmbw.sh,bwcache,fail,1147.735567 
spark,terasort,clbm.sh,no,success,192.277721 
spark,terasort,clbm.sh,bw,success,267.428236 
spark,terasort,clbm.sh,cache,success,202.021074 
spark,terasort,clbm.sh,bwcache,success,166.977183 
spark,terasort,clbm.sh,no,success,241.118989 
spark,terasort,clbm.sh,bw,success,192.418780 
2015-12-16 21:46:02,spark,terasort,clibquantum.sh,bw,success,62.935585 
2015-12-16 21:49:26,spark,terasort,clibquantum.sh,cache,success,69.341212 
2015-12-16 21:52:52,spark,terasort,clibquantum.sh,bwcache,success,70.328957 
2015-12-16 23:33:34,flink,terasort,clibquantum.sh,no,success,80.263273 
2015-12-16 23:37:15,flink,terasort,clibquantum.sh,bw,success,89.008719 
2015-12-16 23:42:39,flink,terasort,clibquantum.sh,cache,success,191.659694 
2015-12-16 23:47:52,flink,terasort,clibquantum.sh,bwcache,success,181.862701 
2015-12-16 23:51:19,flink,terasort,clibquantum.sh,no,success,74.814774 
2015-12-16 23:55:00,flink,terasort,clibquantum.sh,bw,success,88.967183 
2015-12-17 00:00:12,flink,terasort,clibquantum.sh,cache,success,181.062907 
2015-12-17 00:05:27,flink,terasort,clibquantum.sh,bwcache,success,183.688656 
2015-12-17 00:08:55,flink,terasort,clibquantum.sh,no,success,76.346213 
2015-12-17 00:12:31,flink,terasort,clibquantum.sh,bw,success,83.988078 
2015-12-17 00:17:48,flink,terasort,clibquantum.sh,cache,success,185.294180 
2015-12-17 00:22:11,flink,terasort,clibquantum.sh,bwcache,success,131.616648 
